!anime-metadata-db-index	1
!stats	franchises=1	series=502	seasons=594	episodes=8987	characters=727	staff=484	earliest=2006	latest=2026
!franchises	id	file	titles
fate	fate.yaml	フェイト|en=Fate
!series	id	file	franchise	titles
0-saiji-start-dash-monogatari	0-saiji-start-dash-monogatari.yaml		0歳児スタートダッシュ物語|ja-Latn=0-saiji Start Dash Monogatari
chou-futsuu-mahou-shoujo-asumi-toruverse	chou-futsuu-mahou-shoujo-asumi-toruverse.yaml		超普通マホウ少女アスミトルバース|ja-Latn=Chou Futsuu Mahou Shoujo Asumi Toruverse
chuuzenji-sensei-mononoke-kougiroku-sensei-ga-nazo-wo	chuuzenji-sensei-mononoke-kougiroku-sensei-ga-nazo-wo.yaml		中禅寺先生物怪講義録 先生が謎を解いてしまうから。|ja-Latn=Chuuzenji-sensei Mononoke Kougiroku: Sensei ga Nazo wo Hodoite Shimau kara.
city-the-animation	city-the-animation.yaml		City The Animation
class-no-daikirai-na-joshi-to-kekkon-suru-koto-ni-natta	class-no-daikirai-na-joshi-to-kekkon-suru-koto-ni-natta.yaml		クラスの大嫌いな女子と結婚することになった。|ja-Latn=Class no Daikirai na Joshi to Kekkon suru Koto ni Natta.
classic-stars	classic-stars.yaml		クラシック★スターズ|ja-Latn=Classic★Stars
clevatess-majuu-no-ou-to-akago-to-shikabane-no-yuusha	clevatess-majuu-no-ou-to-akago-to-shikabane-no-yuusha.yaml		クレバテス-魔獣の王と赤子と屍の勇者|ja-Latn=Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha
compass-2-0-sentou-setsuri-kaiseki-system	compass-2-0-sentou-setsuri-kaiseki-system.yaml		#コンパス2.0 戦闘摂理解析システム ANIMATION PROJECT|ja-Latn=#Compass 2.0: Sentou Setsuri Kaiseki System
crayon-shin-chan-movie-33-chou-karei-shakunetsu-no-kasukabe	crayon-shin-chan-movie-33-chou-karei-shakunetsu-no-kasukabe.yaml		クレヨンしんちゃん 超華麗！灼熱のカスカベダンサーズ|ja-Latn=Crayon Shin-chan Movie 33: Chou Karei! Shakunetsu no Kasukabe Dancers
dandadan	dandadan.yaml		ダンダダン|ja-Latn=Dandadan
danjo-no-yuujou-wa-seiritsu-suru-iya-shinai	danjo-no-yuujou-wa-seiritsu-suru-iya-shinai.yaml		男女の友情は成立する？（いや、しないっ！！）|ja-Latn=Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!)
dark-machine-the-animation	dark-machine-the-animation.yaml		Dark Machine: The Animation
dark-moon-tsuki-no-saidan	dark-moon-tsuki-no-saidan.yaml		DARK MOON　-黒の月: 月の祭壇- Original By DARK MOON : THE BLOOD ALTAR WITH ENHYPEN|ja-Latn=Dark Moon: Tsuki no Saidan
darwin-jihen	darwin-jihen.yaml		ダーウィン事変|en=The Darwin Incident|ja-Latn=Darwin Jihen
dead-account	dead-account.yaml		デッドアカウント|ja-Latn=Dead Account
debu-to-love-to-ayamachi-to	debu-to-love-to-ayamachi-to.yaml		デブとラブと過ちと！|ja-Latn=Debu to Love to Ayamachi to!
dekin-no-mogura	dekin-no-mogura.yaml		出禁のモグラ|ja-Latn=Dekin no Mogura
demon-slayer	demon-slayer.yaml		鬼滅の刃|en=Demon Slayer
diamond-no-ace	diamond-no-ace.yaml		ダイヤのA[エース]|ja-Latn=Diamond no Ace
digimon-beatbreak	digimon-beatbreak.yaml		デジモンビートブレイク|ja-Latn=Digimon Beatbreak
dive-in	dive-in.yaml		ダイブイン！|ja-Latn=Dive In!
doraemon-movie-44-nobita-no-e-sekai-monogatari	doraemon-movie-44-nobita-no-e-sekai-monogatari.yaml		ドラえもん のび太の絵世界物語|ja-Latn=Doraemon Movie 44: Nobita no E Sekai Monogatari
dotoli-munhwasenteo	dotoli-munhwasenteo.yaml		도토리 문화센터|ko-Latn=Dotoli Munhwasenteo
douse-koishite-shimaunda	douse-koishite-shimaunda.yaml		どうせ, 恋してしまうんだ.|ja-Latn=Douse, Koishite Shimaunda.
dr-stone-science-future	dr-stone-science-future.yaml		ドクターストーン SCIENCE FUTURE|ja-Latn=Dr. Stone: Science Future
dragon-heart-reikai-tanbouki	dragon-heart-reikai-tanbouki.yaml		ドラゴン・ハート―霊界探訪記―|ja-Latn=Dragon Heart: Reikai Tanbouki
egao-no-taenai-shokuba-desu	egao-no-taenai-shokuba-desu.yaml		笑顔のたえない職場です。|ja-Latn=Egao no Taenai Shokuba desu.
eleceed	eleceed.yaml		エレキシード / 일렉시드|ja-Latn=Eleceed
